"pp" "condition" "age" "RT" "ACC"
"1" 1 "a" 29 NA NA
"2" 2 "a" 29 0.839874206280382 1
"3" 3 "a" 29 1.58353294244006 1
"4" 4 "a" 29 1.06614890957377 0
"5" 5 "a" 35 NA NA
"6" 6 "a" 35 1.31760164431809 0
"7" 7 "a" 35 1.99187564436715 0
"8" 8 "a" 35 2.32708482164719 1
"9" 9 "b" 37 NA NA
"10" 10 "b" 37 NA NA
"11" 11 "b" 37 1.05047486252195 0
"12" 12 "b" 37 0.735880800128992 0
"13" 13 "b" 32 0.811470294575276 0
"14" 14 "b" 32 1.39695437737629 1
"15" 15 "b" 32 2.03410349068442 1
"16" 16 "b" 32 NA NA
"17" 17 "c" 25 1.97062645952287 0
"18" 18 "c" 25 2.47513449476825 0
"19" 19 "c" 25 1.3138996674703 1
"20" 20 "c" 25 0.878469505513082 0
"21" 21 "c" 18 1.44514374221275 0
"22" 22 "c" 18 1.32591291567738 0
"23" 23 "c" 18 1.88530477570601 1
"24" 24 "c" 18 1.28585612334101 0
"25" 25 "d" 20 2.37231732454468 0
"26" 26 "d" 20 1.35788210457369 0
"27" 27 "d" 20 0.692026666216015 0
"28" 28 "d" 20 1.33125022143239 0
"29" 29 "d" 35 2.16875995395996 0
"30" 30 "d" 35 1.41973510161853 0
"31" 31 "d" 35 NA NA
"32" 32 "d" 35 0.77829474071893 1
"33" 33 "e" 18 1.02169267935488 1
"34" 34 "e" 18 1.42351171134329 1
"35" 35 "e" 18 1.50212754304436 1
"36" 36 "e" 18 NA NA
"37" 37 "e" 20 1.29755037538571 1
"38" 38 "e" 20 0.958452865722907 1
"39" 39 "e" 20 2.8340881728285 0
"40" 40 "e" 20 2.8268033288495 1
